採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/12/3 上午 07:58:00,1034,1.0,15.0,16.8,7.2,122,9.7,9.6,99.7,1.3,<4.0,3.5,5800,0.12,--,0.090,0.92,0.39,0.011,<0.001,0.003,<0.002,<0.0003,<0.0003,0.002,0.026,0.022,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/11/6 上午 07:55:00,1034,1.0,27.0,22.7,7.2,102,8.7,8.9,103.0,<1.0,<4.0,3.7,3400,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/10/4 上午 07:55:00,1034,1.0,26.3,23.8,7.5,117,8.3,8.6,102.3,<1.0,<4.0,4.3,4600,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/9/4 上午 07:55:00,1034,1.0,27.1,26.0,7.4,132,7.5,7.5,92.4,1.2,10.3,18.6,17000,0.07,--,0.119,1.88,0.81,0.013,0.001,<0.003,<0.002,0.0008,<0.0003,0.004,0.022,0.065,0.002,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/8/6 上午 07:55:00,1034,1.0,27.9,27.4,7.7,106,8.3,8.4,106.9,<1.0,4.5,1.4,6600,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/7/4 上午 07:55:00,1034,1.0,29.8,29.2,7.6,117,7.9,8.0,104.1,<1.0,4.3,2.9,12000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/6/6 上午 07:55:00,1034,1.0,27.3,24.3,7.6,113,8.5,8.8,106.2,2.1,8.4,2.6,4200,0.04,--,0.038,3.11,0.38,0.005,<0.001,0.006,<0.002,0.0005,<0.0003,0.002,0.022,0.017,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/5/8 上午 07:56:00,1034,1.0,24.3,21.3,7.5,103,9.4,9.4,106.6,1.2,<4.0,5.4,54000,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/4/2 上午 07:55:00,1034,1.0,19.5,17.8,7.2,84,9.6,9.7,101.4,1.1,<4.0,5.1,6400,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2008/3/4 上午 08:00:00,1034,1.0,15.7,14.7,7.6,100,10.3,10.8,106.2,<1.0,5.4,2.1,3500,0.05,--,0.065,1.36,0.45,0.008,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.003,0.021,0.038,<0.001,<0.001,--,--,--,--
