採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/12/5 上午 07:55:00,1034,1.0,16.3,16.1,7.0,103,--,10.3,104.5,<1.0,<4.0,<1.0,4000,0.21,--,0.064,--,0.34,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.003,0.011,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/11/6 下午 02:25:00,1034,1.0,25.1,22.8,7.2,77,--,8.8,102.4,<1.0,<4.0,4.6,2700,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/10/4 上午 07:55:00,1034,1.0,25.2,21.6,7.2,87,--,8.7,99.3,<1.0,<4.0,1.3,16000,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/9/15 上午 07:55:00,1034,1.0,30.6,27.9,7.2,112,--,8.1,104.5,1.4,6.0,3.6,9500,0.11,--,0.034,--,0.23,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.002,0.014,0.016,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/8/8 上午 07:55:00,1034,1.0,30.7,29.0,7.4,137,--,7.1,93.2,2.1,5.3,4.0,19000,0.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/7/2 上午 07:55:00,1034,1.0,30.7,29.6,7.6,123,--,7.9,103.7,2.1,6.8,3.1,42000,0.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/6/4 上午 08:55:00,1034,1.0,29.2,26.1,7.7,101,--,8.5,105.9,1.6,6.3,4.9,17000,0.09,--,0.053,--,0.38,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.001,0.008,0.030,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/5/7 上午 08:55:00,1034,1.0,24.0,21.7,7.5,93,--,9.1,104.2,1.0,<4.0,2.9,27000,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/4/9 上午 07:45:00,1034,1.0,21.3,18.4,7.3,86,--,9.3,99.3,<1.0,<4.0,2.2,24000,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/3/2 上午 07:45:00,1034,1.0,19.7,17.4,7.3,85,--,9.2,95.8,<1.0,<4.0,3.2,27000,0.13,--,0.046,0.71,0.46,0.020,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.008,0.010,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/2/2 上午 07:45:00,1034,1.0,18.6,18.0,7.3,94,--,9.1,96.4,<1.0,<4.0,2.0,5700,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2013/1/8 上午 07:45:00,1034,1.0,18.2,18.7,7.3,67,--,9.4,101.4,<1.0,4.0,3.1,7200,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/12/5 上午 08:45:00,1035,1.0,16.6,17.3,7.0,121,--,10.1,104.7,<1.0,<4.0,<1.0,340,0.01,--,0.031,--,0.39,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.005,0.006,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/11/6 下午 03:05:00,1035,1.0,24.7,22.7,7.1,89,--,9.0,103.7,<1.0,4.3,4.8,5800,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/10/4 上午 08:45:00,1035,1.0,26.5,22.5,7.1,102,--,8.7,100.7,1.4,<4.0,1.0,7200,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/9/15 上午 08:45:00,1035,1.0,29.8,28.9,7.1,130,--,7.6,98.8,<1.0,6.9,2.0,250,<0.01,--,0.014,--,0.21,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.001,0.009,0.013,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/8/8 上午 08:45:00,1035,1.0,31.2,30.1,7.2,139,--,7.3,96.7,1.0,8.4,3.6,<10,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/7/2 上午 08:45:00,1035,1.0,30.2,30.4,7.4,138,--,7.8,103.5,1.1,<4.0,4.4,50,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2013/6/4 上午 09:45:00,1035,1.0,28.4,26.9,7.6,116,--,8.6,107.9,1.2,8.8,5.0,250,0.01,--,0.020,--,0.30,--,<0.001,0.011,<0.002,0.0006,<0.0003,0.002,0.009,0.021,<0.001,--,--,--,--,--
