採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/12/3 上午 07:46:00,1034,1.0,19.8,19.2,7.5,98,9.2,9.2,98.6,<1.0,<4.0,1.0,25000,0.08,--,0.059,0.80,0.34,0.012,<0.001,0.011,<0.002,<0.0003,<0.0003,0.001,0.010,0.014,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/11/2 上午 07:46:00,1034,1.0,18.5,19.1,7.4,92,8.9,9.2,99.4,<1.0,5.0,3.2,12000,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/10/5 上午 07:45:00,1034,1.0,22.4,21.3,7.2,79,8.6,8.8,99.3,2.0,4.7,2.0,16000,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/9/4 上午 07:45:00,1034,1.0,27.9,25.7,7.5,100,7.9,8.1,99.6,1.3,<4.0,2.8,48000,0.08,--,0.052,1.24,0.40,0.003,<0.001,<0.003,<0.002,0.0022,<0.0003,<0.001,0.031,0.023,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/8/4 上午 07:45:00,1034,1.5,30.2,29.8,7.5,143,6.6,6.8,90.8,4.5,10.4,13.4,780,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/7/9 上午 07:45:00,1034,1.5,29.0,28.3,7.6,121,7.4,7.7,100.3,4.3,9.7,5.8,60000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/6/2 上午 07:45:00,1034,1.0,24.7,21.9,7.8,106,8.8,8.8,101.2,<1.0,<4.0,5.1,13000,0.10,--,0.032,1.09,0.33,0.004,<0.001,0.004,0.005,0.0003,<0.0003,<0.001,0.059,0.030,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/5/5 上午 07:45:00,1034,1.0,28.1,24.4,7.2,112,8.1,8.2,99.0,<1.0,4.0,5.6,240,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/4/7 上午 07:45:00,1034,1.5,19.1,18.7,7.4,132,8.9,9.1,96.9,<1.0,<4.0,20.9,20000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2010/3/2 上午 07:45:00,1034,1.0,22.8,20.7,7.5,108,8.6,8.7,96.8,<1.0,<4.0,6.9,4700,0.04,--,0.041,1.02,0.27,0.008,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.012,0.020,<0.001,<0.001,--,--,--,--
