採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/12/2 上午 07:55:00,1034,1.0,20.1,19.6,7.4,100,--,9.1,99.6,1.2,<4.0,2.9,14000,0.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/11/3 上午 07:55:00,1034,1.0,19.1,20.5,7.1,90,--,9.0,99.6,<1.0,8.5,7.0,5200,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/10/18 上午 07:55:00,1034,1.0,21.2,21.5,7.4,103,--,8.9,101.7,<1.0,<4.0,1.7,8000,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/9/3 上午 07:55:00,1034,1.0,28.9,24.2,7.5,88,--,9.1,108.4,<1.0,4.1,2.8,4100,0.03,--,0.030,--,0.43,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.008,0.010,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/8/4 上午 07:55:00,1034,1.0,29.8,27.9,7.6,124,--,7.9,100.9,1.1,7.7,3.0,800,0.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/7/7 上午 07:55:00,1034,1.0,31.4,29.5,7.5,130,--,8.0,104.7,<1.0,4.1,5.3,3700,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/6/5 上午 07:55:00,1034,1.0,28.6,25.7,7.6,96,--,8.6,107.2,1.0,4.5,2.5,41000,0.20,--,0.059,--,0.36,--,<0.001,0.005,<0.002,<0.0003,<0.0003,0.002,0.002,0.015,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/5/5 上午 07:55:00,1034,1.5,21.0,19.6,7.5,106,--,9.0,99.2,4.0,9.7,11.9,29000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/4/11 上午 07:55:00,1034,1.0,17.9,17.6,7.5,92,--,9.4,98.7,<1.0,5.8,6.3,9300,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/3/7 上午 07:55:00,1034,1.0,15.8,16.5,7.4,94,--,9.7,99.9,<1.0,7.8,3.6,19000,0.11,--,0.044,0.62,0.45,0.026,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.008,0.017,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/2/6 上午 07:55:00,1034,1.0,11.0,14.8,7.4,82,--,10.3,101.2,<1.0,<4.0,3.6,30000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2015/1/6 上午 07:55:00,1034,1.0,17.4,16.8,7.2,104,--,9.6,99.1,<1.0,<4.0,1.6,20000,0.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/12/2 上午 08:45:00,1035,1.0,25.0,20.5,7.1,113,--,9.1,101.3,<1.0,<4.0,3.7,5500,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/11/3 上午 08:45:00,1035,1.0,20.4,20.7,7.3,106,--,8.7,96.6,<1.0,8.5,19.4,8200,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/10/18 上午 08:45:00,1035,1.0,22.6,22.8,7.3,126,--,8.2,95.2,<1.0,<4.0,4.1,1600,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/9/3 上午 08:45:00,1035,1.0,29.2,24.7,7.3,105,--,8.8,105.1,<1.0,5.6,3.8,1600,<0.01,--,0.029,--,0.39,--,<0.001,<0.003,<0.002,<0.0003,0.0003,0.002,0.004,0.016,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/8/4 上午 08:45:00,1035,1.0,30.1,29.4,7.5,133,--,8.0,104.6,1.1,7.5,4.4,4400,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/7/7 上午 08:45:00,1035,1.0,31.5,29.7,7.4,148,--,8.0,107.7,<1.0,6.1,5.0,4600,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/6/5 上午 08:45:00,1035,1.0,28.9,27.4,7.1,116,--,8.6,110.2,1.1,4.7,3.6,5100,<0.01,--,0.038,--,0.32,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.005,0.017,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/5/5 上午 08:45:00,1035,1.0,20.8,20.4,7.5,125,--,8.6,95.5,2.0,8.0,9.9,3200,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/4/11 上午 08:45:00,1035,1.0,17.5,18.0,7.4,110,--,9.0,95.2,<1.0,6.8,3.1,2700,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/3/7 上午 08:45:00,1035,1.0,15.6,17.0,7.3,105,--,9.8,101.1,<1.0,6.8,2.8,4900,<0.01,--,0.024,0.58,0.51,0.026,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.011,0.015,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/2/6 上午 08:45:00,1035,1.0,11.9,14.8,7.2,96,--,9.8,96.1,<1.0,<4.0,4.7,4900,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2015/1/6 上午 08:45:00,1035,1.0,17.2,17.9,7.1,120,--,9.5,100.8,<1.0,<4.0,1.6,1000,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/12/4 上午 10:55:00,1332,1.0,17.1,17.7,7.5,187,--,9.6,99.8,<1.0,7.4,1.2,70,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/11/5 下午 12:05:00,1332,1.0,26.9,22.7,7.6,108,--,8.6,100.2,<1.0,<4.0,3.0,900,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/10/8 上午 07:35:00,1332,1.0,24.0,21.9,7.6,125,--,8.8,102.1,<1.0,5.3,3.6,270,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/9/2 下午 12:05:00,1332,1.0,28.8,24.7,7.4,117,--,8.0,95.7,<1.0,5.3,4.8,110,<0.01,--,0.031,--,0.59,--,<0.001,0.006,<0.002,<0.0003,<0.0003,0.001,0.011,0.005,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/8/6 下午 02:25:00,1332,1.0,32.3,27.8,8.3,159,--,8.0,104.3,1.3,5.6,2.9,100,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/7/9 上午 10:45:00,1332,1.0,30.9,26.6,8.5,158,--,8.3,104.8,<1.0,6.1,1.3,380,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/6/3 上午 11:05:00,1332,1.0,29.2,24.8,8.1,127,--,8.8,107.5,<1.0,<4.0,1.8,350,0.02,--,0.027,--,0.53,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.014,<0.005,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/5/7 上午 11:35:00,1332,1.0,28.7,22.5,8.1,125,--,8.8,101.9,<1.0,5.8,1.6,270,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/4/8 上午 11:35:00,1332,1.0,19.0,19.2,8.4,146,--,9.7,105.6,<1.0,<4.0,<1.0,210,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/3/4 上午 10:40:00,1332,1.0,15.4,17.0,8.3,169,--,10.2,105.7,<1.0,<4.0,<1.0,140,<0.01,--,0.051,0.40,0.29,0.004,<0.001,0.006,<0.002,<0.0003,<0.0003,0.002,0.007,<0.005,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/2/4 上午 10:35:00,1332,1.0,16.2,16.2,7.8,134,--,9.8,99.6,<1.0,<4.0,1.2,350,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2015/1/8 上午 11:05:00,1332,1.0,15.2,15.5,8.3,154,--,10.7,107.3,<1.0,<4.0,1.5,95,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/12/4 上午 11:45:00,1221,2.8,17.6,19.4,7.1,191,--,4.7,50.9,1.1,7.9,11.8,21000,1.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/11/5 下午 12:55:00,1221,1.5,26.8,26.5,7.0,163,--,6.5,80.0,2.3,9.3,11.3,97000,0.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/10/8 上午 08:25:00,1221,2.0,26.1,23.8,7.2,170,--,6.3,74.6,1.6,6.3,23.8,17000,0.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/9/2 下午 01:25:00,1221,1.0,30.5,28.4,7.2,137,--,8.0,103.0,1.3,8.4,18.1,5500,0.24,--,0.619,--,0.65,--,<0.001,0.004,<0.002,0.0009,<0.0003,0.003,0.012,0.040,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/8/6 下午 03:15:00,1221,3.5,33.1,30.3,7.8,222,--,9.9,132.1,8.9,27.9,14.4,23000,2.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/7/9 上午 11:35:00,1221,4.3,31.7,29.5,7.3,248,--,4.7,62.7,4.2,14.5,13.4,20000,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/6/3 上午 11:55:00,1221,3.8,28.6,27.8,7.1,199,--,4.7,60.3,3.3,10.2,22.1,47000,1.68,--,0.410,--,0.43,--,<0.001,0.004,<0.002,0.0020,<0.0003,0.003,0.015,0.082,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/5/7 下午 12:25:00,1221,3.3,29.8,26.6,7.3,194,--,5.6,69.3,3.9,12.7,15.4,21000,1.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/4/8 下午 12:25:00,1221,3.8,19.0,20.3,7.2,208,--,4.9,54.0,3.7,11.9,26.7,41000,1.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/3/4 下午 12:15:00,1221,5.5,16.2,18.9,7.2,286,--,2.2,23.6,4.1,19.1,21.0,23000,4.85,--,0.950,3.34,0.20,0.063,<0.001,0.006,<0.002,0.0046,<0.0003,0.005,0.024,0.147,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/2/4 上午 11:25:00,1221,5.3,16.2,18.5,7.2,219,--,3.8,40.6,7.1,15.6,29.8,120000,2.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2015/1/8 上午 11:55:00,1221,4.5,15.4,16.3,7.3,256,--,3.9,39.0,2.8,15.0,19.8,27000,4.95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/12/4 上午 06:25:00,1222,2.8,15.8,19.0,7.4,1460,--,5.4,57.4,1.1,8.9,17.9,3900,1.15,192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/11/5 上午 07:40:00,1222,3.3,24.3,23.7,7.0,346,--,4.5,52.6,1.7,11.3,39.4,96000,0.65,60.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/10/8 上午 09:15:00,1222,3.3,27.3,26.8,7.2,1320,--,3.3,41.8,1.8,16.8,32.1,4700,0.70,319,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/9/2 下午 02:15:00,1222,3.3,28.1,27.9,7.1,404,--,3.9,49.4,2.1,17.4,36.5,12000,0.61,68.9,0.272,--,0.84,--,<0.001,0.006,<0.002,0.0051,<0.0003,0.003,0.011,0.152,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/8/6 下午 04:05:00,1222,3.3,32.7,32.9,8.2,8070,--,11.9,170.4,6.6,15.5,27.7,1200,0.84,2550,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/7/9 上午 05:55:00,1222,4.0,26.9,29.7,7.6,17700,--,2.2,32.6,2.7,20.3,30.2,2500,1.26,6020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/6/3 下午 12:45:00,1222,3.8,29.1,30.9,7.3,1770,--,5.6,75.8,3.3,14.1,26.2,3700,1.83,302,0.214,--,1.29,--,<0.001,<0.003,<0.002,0.0061,<0.0003,0.002,0.007,0.117,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/5/7 下午 02:15:00,1222,4.0,30.1,27.0,7.2,8130,--,4.2,54.2,1.7,15.8,24.2,3200,2.00,2490,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2015/4/8 下午 02:25:00,1222,3.8,18.6,20.6,7.5,862,--,5.1,56.9,3.2,16.9,22.9,4300,2.07,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
