採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/12/2 上午 07:45:00,1034,1.0,16.4,18.2,7.1,70,--,9.4,99.3,<1.0,<4.0,5.2,21000,<0.01,--,0.020,0.75,0.51,0.006,<0.001,0.005,<0.002,<0.0003,<0.0003,<0.001,0.014,0.009,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/11/2 上午 07:48:00,1034,1.0,22.8,21.6,7.3,71,--,10.2,116.2,<1.0,<4.0,13.1,14000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/10/8 上午 07:48:00,1034,1.0,25.0,22.4,7.6,146,--,8.9,102.5,<1.0,<4.0,2.6,33000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/9/6 上午 07:47:00,1034,1.0,26.1,24.8,7.2,106,--,8.9,108.6,2.5,7.0,3.0,1800,0.02,--,0.031,2.22,0.19,0.006,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.038,0.018,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/8/3 上午 07:45:00,1034,1.0,28.7,27.9,7.3,128,--,7.6,98.7,<1.0,<4.0,5.6,3200,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/7/8 上午 07:45:00,1034,1.0,28.7,28.2,7.7,115,--,8.4,108.3,<1.0,<4.0,3.6,3000,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/6/8 上午 07:47:00,1034,1.0,27.8,26.7,7.6,109,--,8.4,106.0,<1.0,5.6,1.7,2200,0.16,--,0.053,1.21,0.24,0.011,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.013,0.023,0.051,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/5/6 上午 07:46:00,1034,1.0,25.2,22.1,7.6,115,--,9.1,105.3,<1.0,<4.0,4.1,40000,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/4/10 上午 07:47:00,1034,1.0,21.5,19.8,7.6,104,--,9.9,108.8,2.0,<4.0,2.4,4300,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2011/3/4 上午 07:45:00,1034,1.0,14.7,14.3,7.6,97,--,9.8,96.1,<1.0,<4.0,4.2,21000,0.27,--,0.046,1.02,0.53,0.010,<0.001,0.004,<0.002,<0.0003,0.0006,<0.001,0.034,0.012,<0.001,<0.001,--,--,--,--
